"outcome","ft_type","seed_val","fpr","sens"
"PE_vs_NP","Baseline",303,0,0.0454545454545455
"PE_vs_NP","Baseline",303,0.001,0.0454545454545455
"PE_vs_NP","Baseline",303,0.002,0.0454545454545455
"PE_vs_NP","Baseline",303,0.003,0.0454545454545455
"PE_vs_NP","Baseline",303,0.004,0.0454545454545455
"PE_vs_NP","Baseline",303,0.005,0.0454545454545455
"PE_vs_NP","Baseline",303,0.006,0.0454545454545455
"PE_vs_NP","Baseline",303,0.007,0.0454545454545455
"PE_vs_NP","Baseline",303,0.008,0.0454545454545455
"PE_vs_NP","Baseline",303,0.009,0.0454545454545455
"PE_vs_NP","Baseline",303,0.01,0.0454545454545455
"PE_vs_NP","Baseline",303,0.011,0.0454545454545455
"PE_vs_NP","Baseline",303,0.012,0.0454545454545455
"PE_vs_NP","Baseline",303,0.013,0.0454545454545455
"PE_vs_NP","Baseline",303,0.014,0.0454545454545455
"PE_vs_NP","Baseline",303,0.015,0.0454545454545455
"PE_vs_NP","Baseline",303,0.016,0.0454545454545455
"PE_vs_NP","Baseline",303,0.017,0.0454545454545455
"PE_vs_NP","Baseline",303,0.018,0.0485090909090909
"PE_vs_NP","Baseline",303,0.019,0.0517090909090909
"PE_vs_NP","Baseline",303,0.02,0.0545454545454545
"PE_vs_NP","Baseline",303,0.021,0.0545454545454545
"PE_vs_NP","Baseline",303,0.022,0.0545454545454545
"PE_vs_NP","Baseline",303,0.023,0.0545454545454545
"PE_vs_NP","Baseline",303,0.024,0.0545454545454545
"PE_vs_NP","Baseline",303,0.025,0.0545454545454545
"PE_vs_NP","Baseline",303,0.026,0.0545454545454545
"PE_vs_NP","Baseline",303,0.027,0.0545454545454545
"PE_vs_NP","Baseline",303,0.028,0.0545454545454545
"PE_vs_NP","Baseline",303,0.029,0.0727272727272727
"PE_vs_NP","Baseline",303,0.03,0.0727272727272727
"PE_vs_NP","Baseline",303,0.031,0.0727272727272727
"PE_vs_NP","Baseline",303,0.032,0.0909090909090909
"PE_vs_NP","Baseline",303,0.033,0.0909090909090909
"PE_vs_NP","Baseline",303,0.034,0.0909090909090909
"PE_vs_NP","Baseline",303,0.035,0.0909090909090909
"PE_vs_NP","Baseline",303,0.036,0.0909090909090909
"PE_vs_NP","Baseline",303,0.037,0.0909090909090909
"PE_vs_NP","Baseline",303,0.038,0.0909090909090909
"PE_vs_NP","Baseline",303,0.039,0.0909090909090909
"PE_vs_NP","Baseline",303,0.04,0.0909090909090909
"PE_vs_NP","Baseline",303,0.041,0.0909090909090909
"PE_vs_NP","Baseline",303,0.042,0.0909090909090909
"PE_vs_NP","Baseline",303,0.043,0.0909090909090909
"PE_vs_NP","Baseline",303,0.044,0.0909090909090909
"PE_vs_NP","Baseline",303,0.045,0.0909090909090909
"PE_vs_NP","Baseline",303,0.046,0.0909090909090909
"PE_vs_NP","Baseline",303,0.047,0.0909090909090909
"PE_vs_NP","Baseline",303,0.048,0.0909090909090909
"PE_vs_NP","Baseline",303,0.049,0.0909090909090909
"PE_vs_NP","Baseline",303,0.05,0.0909090909090909
"PE_vs_NP","Baseline",303,0.051,0.0909090909090909
"PE_vs_NP","Baseline",303,0.052,0.0936727272727274
"PE_vs_NP","Baseline",303,0.053,0.0968727272727275
"PE_vs_NP","Baseline",303,0.054,0.1
"PE_vs_NP","Baseline",303,0.055,0.1
"PE_vs_NP","Baseline",303,0.056,0.1
"PE_vs_NP","Baseline",303,0.057,0.1
"PE_vs_NP","Baseline",303,0.058,0.1
"PE_vs_NP","Baseline",303,0.059,0.1
"PE_vs_NP","Baseline",303,0.06,0.1
"PE_vs_NP","Baseline",303,0.061,0.1
"PE_vs_NP","Baseline",303,0.062,0.1
"PE_vs_NP","Baseline",303,0.063,0.1
"PE_vs_NP","Baseline",303,0.064,0.1
"PE_vs_NP","Baseline",303,0.065,0.1
"PE_vs_NP","Baseline",303,0.066,0.1
"PE_vs_NP","Baseline",303,0.067,0.1
"PE_vs_NP","Baseline",303,0.068,0.1
"PE_vs_NP","Baseline",303,0.069,0.1
"PE_vs_NP","Baseline",303,0.07,0.1
"PE_vs_NP","Baseline",303,0.071,0.1
"PE_vs_NP","Baseline",303,0.072,0.1
"PE_vs_NP","Baseline",303,0.073,0.1
"PE_vs_NP","Baseline",303,0.074,0.1
"PE_vs_NP","Baseline",303,0.075,0.1
"PE_vs_NP","Baseline",303,0.076,0.1
"PE_vs_NP","Baseline",303,0.077,0.109090909090909
"PE_vs_NP","Baseline",303,0.078,0.109090909090909
"PE_vs_NP","Baseline",303,0.079,0.109090909090909
"PE_vs_NP","Baseline",303,0.08,0.109818181818182
"PE_vs_NP","Baseline",303,0.081,0.111418181818182
"PE_vs_NP","Baseline",303,0.082,0.113018181818182
"PE_vs_NP","Baseline",303,0.083,0.114618181818182
"PE_vs_NP","Baseline",303,0.084,0.116218181818182
"PE_vs_NP","Baseline",303,0.085,0.117818181818182
"PE_vs_NP","Baseline",303,0.086,0.120654545454545
"PE_vs_NP","Baseline",303,0.087,0.123854545454545
"PE_vs_NP","Baseline",303,0.088,0.127054545454546
"PE_vs_NP","Baseline",303,0.089,0.136363636363636
"PE_vs_NP","Baseline",303,0.09,0.136363636363636
"PE_vs_NP","Baseline",303,0.091,0.136654545454545
"PE_vs_NP","Baseline",303,0.092,0.139854545454545
"PE_vs_NP","Baseline",303,0.093,0.143054545454545
"PE_vs_NP","Baseline",303,0.094,0.154545454545455
"PE_vs_NP","Baseline",303,0.095,0.154545454545455
"PE_vs_NP","Baseline",303,0.096,0.154545454545455
"PE_vs_NP","Baseline",303,0.097,0.154545454545455
"PE_vs_NP","Baseline",303,0.098,0.154545454545455
"PE_vs_NP","Baseline",303,0.099,0.154545454545455
"PE_vs_NP","Baseline",303,0.1,0.154545454545455
"PE_vs_NP","Baseline",303,0.101,0.154545454545455
"PE_vs_NP","Baseline",303,0.102,0.154545454545455
"PE_vs_NP","Baseline",303,0.103,0.156872727272727
"PE_vs_NP","Baseline",303,0.104,0.160072727272727
"PE_vs_NP","Baseline",303,0.105,0.163272727272727
"PE_vs_NP","Baseline",303,0.106,0.165054545454545
"PE_vs_NP","Baseline",303,0.107,0.166654545454545
"PE_vs_NP","Baseline",303,0.108,0.168278787878788
"PE_vs_NP","Baseline",303,0.109,0.170412121212121
"PE_vs_NP","Baseline",303,0.11,0.172545454545454
"PE_vs_NP","Baseline",303,0.111,0.174351515151515
"PE_vs_NP","Baseline",303,0.112,0.174884848484849
"PE_vs_NP","Baseline",303,0.113,0.175418181818182
"PE_vs_NP","Baseline",303,0.114,0.177115151515151
"PE_vs_NP","Baseline",303,0.115,0.180848484848485
"PE_vs_NP","Baseline",303,0.116,0.184581818181818
"PE_vs_NP","Baseline",303,0.117,0.186642424242424
"PE_vs_NP","Baseline",303,0.118,0.187175757575758
"PE_vs_NP","Baseline",303,0.119,0.187709090909091
"PE_vs_NP","Baseline",303,0.12,0.188242424242424
"PE_vs_NP","Baseline",303,0.121,0.188775757575758
"PE_vs_NP","Baseline",303,0.122,0.189309090909091
"PE_vs_NP","Baseline",303,0.123,0.189842424242424
"PE_vs_NP","Baseline",303,0.124,0.190375757575758
"PE_vs_NP","Baseline",303,0.125,0.190909090909091
"PE_vs_NP","Baseline",303,0.126,0.190909090909091
"PE_vs_NP","Baseline",303,0.127,0.190909090909091
"PE_vs_NP","Baseline",303,0.128,0.191163636363636
"PE_vs_NP","Baseline",303,0.129,0.192763636363636
"PE_vs_NP","Baseline",303,0.13,0.194363636363636
"PE_vs_NP","Baseline",303,0.131,0.205054545454545
"PE_vs_NP","Baseline",303,0.132,0.206654545454545
"PE_vs_NP","Baseline",303,0.133,0.208254545454545
"PE_vs_NP","Baseline",303,0.134,0.209090909090909
"PE_vs_NP","Baseline",303,0.135,0.209090909090909
"PE_vs_NP","Baseline",303,0.136,0.209090909090909
"PE_vs_NP","Baseline",303,0.137,0.209090909090909
"PE_vs_NP","Baseline",303,0.138,0.209090909090909
"PE_vs_NP","Baseline",303,0.139,0.209090909090909
"PE_vs_NP","Baseline",303,0.14,0.209090909090909
"PE_vs_NP","Baseline",303,0.141,0.209090909090909
"PE_vs_NP","Baseline",303,0.142,0.209090909090909
"PE_vs_NP","Baseline",303,0.143,0.209090909090909
"PE_vs_NP","Baseline",303,0.144,0.209090909090909
"PE_vs_NP","Baseline",303,0.145,0.209090909090909
"PE_vs_NP","Baseline",303,0.146,0.209090909090909
"PE_vs_NP","Baseline",303,0.147,0.209090909090909
"PE_vs_NP","Baseline",303,0.148,0.218181818181818
