"outcome","ft_type","seed_val","fpr","sens"
"PE_vs_NP","Baseline",303,0,0
"PE_vs_NP","Baseline",303,0.001,0
"PE_vs_NP","Baseline",303,0.002,0
"PE_vs_NP","Baseline",303,0.003,0
"PE_vs_NP","Baseline",303,0.004,0
"PE_vs_NP","Baseline",303,0.005,0
"PE_vs_NP","Baseline",303,0.006,0
"PE_vs_NP","Baseline",303,0.007,0
"PE_vs_NP","Baseline",303,0.008,0
"PE_vs_NP","Baseline",303,0.009,0
"PE_vs_NP","Baseline",303,0.01,0
"PE_vs_NP","Baseline",303,0.011,0
"PE_vs_NP","Baseline",303,0.012,0
"PE_vs_NP","Baseline",303,0.013,0
"PE_vs_NP","Baseline",303,0.014,0
"PE_vs_NP","Baseline",303,0.015,0
"PE_vs_NP","Baseline",303,0.016,0
"PE_vs_NP","Baseline",303,0.017,0
"PE_vs_NP","Baseline",303,0.018,0
"PE_vs_NP","Baseline",303,0.019,0
"PE_vs_NP","Baseline",303,0.02,0.02
"PE_vs_NP","Baseline",303,0.021,0.02
"PE_vs_NP","Baseline",303,0.022,0.06
"PE_vs_NP","Baseline",303,0.023,0.08
"PE_vs_NP","Baseline",303,0.024,0.08
"PE_vs_NP","Baseline",303,0.025,0.0933333333333333
"PE_vs_NP","Baseline",303,0.026,0.1
"PE_vs_NP","Baseline",303,0.027,0.1
"PE_vs_NP","Baseline",303,0.028,0.1
"PE_vs_NP","Baseline",303,0.029,0.106666666666667
"PE_vs_NP","Baseline",303,0.03,0.106666666666667
"PE_vs_NP","Baseline",303,0.031,0.12
"PE_vs_NP","Baseline",303,0.032,0.12
"PE_vs_NP","Baseline",303,0.033,0.12
"PE_vs_NP","Baseline",303,0.034,0.133333333333333
"PE_vs_NP","Baseline",303,0.035,0.133333333333333
"PE_vs_NP","Baseline",303,0.036,0.133333333333333
"PE_vs_NP","Baseline",303,0.037,0.133333333333333
"PE_vs_NP","Baseline",303,0.038,0.133333333333333
"PE_vs_NP","Baseline",303,0.039,0.133333333333333
"PE_vs_NP","Baseline",303,0.04,0.133333333333333
"PE_vs_NP","Baseline",303,0.041,0.133333333333333
"PE_vs_NP","Baseline",303,0.042,0.133333333333333
"PE_vs_NP","Baseline",303,0.043,0.133333333333333
"PE_vs_NP","Baseline",303,0.044,0.133333333333333
"PE_vs_NP","Baseline",303,0.045,0.133333333333333
"PE_vs_NP","Baseline",303,0.046,0.133333333333333
"PE_vs_NP","Baseline",303,0.047,0.133333333333333
"PE_vs_NP","Baseline",303,0.048,0.133333333333333
"PE_vs_NP","Baseline",303,0.049,0.133333333333333
"PE_vs_NP","Baseline",303,0.05,0.133333333333333
"PE_vs_NP","Baseline",303,0.051,0.133333333333333
"PE_vs_NP","Baseline",303,0.052,0.133333333333333
"PE_vs_NP","Baseline",303,0.053,0.133333333333333
"PE_vs_NP","Baseline",303,0.054,0.133333333333333
"PE_vs_NP","Baseline",303,0.055,0.133333333333333
"PE_vs_NP","Baseline",303,0.056,0.133333333333333
"PE_vs_NP","Baseline",303,0.057,0.133333333333333
"PE_vs_NP","Baseline",303,0.058,0.133333333333333
"PE_vs_NP","Baseline",303,0.059,0.133333333333333
"PE_vs_NP","Baseline",303,0.06,0.133333333333333
"PE_vs_NP","Baseline",303,0.061,0.133333333333333
"PE_vs_NP","Baseline",303,0.062,0.133333333333333
"PE_vs_NP","Baseline",303,0.063,0.133333333333333
"PE_vs_NP","Baseline",303,0.064,0.133333333333333
"PE_vs_NP","Baseline",303,0.065,0.133333333333333
"PE_vs_NP","Baseline",303,0.066,0.133333333333333
"PE_vs_NP","Baseline",303,0.067,0.133333333333333
"PE_vs_NP","Baseline",303,0.068,0.133333333333333
"PE_vs_NP","Baseline",303,0.069,0.14
"PE_vs_NP","Baseline",303,0.07,0.14
"PE_vs_NP","Baseline",303,0.071,0.14
"PE_vs_NP","Baseline",303,0.072,0.14
"PE_vs_NP","Baseline",303,0.073,0.14
"PE_vs_NP","Baseline",303,0.074,0.14
"PE_vs_NP","Baseline",303,0.075,0.153333333333333
"PE_vs_NP","Baseline",303,0.076,0.16
"PE_vs_NP","Baseline",303,0.077,0.16
"PE_vs_NP","Baseline",303,0.078,0.16
"PE_vs_NP","Baseline",303,0.079,0.16
"PE_vs_NP","Baseline",303,0.08,0.16
"PE_vs_NP","Baseline",303,0.081,0.166666666666667
"PE_vs_NP","Baseline",303,0.082,0.166666666666667
"PE_vs_NP","Baseline",303,0.083,0.173333333333333
"PE_vs_NP","Baseline",303,0.084,0.18
"PE_vs_NP","Baseline",303,0.085,0.18
"PE_vs_NP","Baseline",303,0.086,0.186666666666667
"PE_vs_NP","Baseline",303,0.087,0.186666666666667
"PE_vs_NP","Baseline",303,0.088,0.186666666666667
"PE_vs_NP","Baseline",303,0.089,0.193333333333333
