"outcome","ft_type","seed_val","fpr","sens"
"Combined_vs_NP","Baseline",505,0,0
"Combined_vs_NP","Baseline",505,0.001,0
"Combined_vs_NP","Baseline",505,0.002,0
"Combined_vs_NP","Baseline",505,0.003,0
"Combined_vs_NP","Baseline",505,0.004,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.005,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.006,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.007,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.008,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.009,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.01,0.0208333333333333
"Combined_vs_NP","Baseline",505,0.011,0.0416666666666667
"Combined_vs_NP","Baseline",505,0.012,0.0416666666666667
"Combined_vs_NP","Baseline",505,0.013,0.0583333333333333
"Combined_vs_NP","Baseline",505,0.014,0.0958333333333333
"Combined_vs_NP","Baseline",505,0.015,0.0958333333333333
"Combined_vs_NP","Baseline",505,0.016,0.1
"Combined_vs_NP","Baseline",505,0.017,0.104166666666667
"Combined_vs_NP","Baseline",505,0.018,0.104166666666667
"Combined_vs_NP","Baseline",505,0.019,0.104166666666667
"Combined_vs_NP","Baseline",505,0.02,0.104166666666667
"Combined_vs_NP","Baseline",505,0.021,0.104166666666667
"Combined_vs_NP","Baseline",505,0.022,0.116666666666667
"Combined_vs_NP","Baseline",505,0.023,0.116666666666667
"Combined_vs_NP","Baseline",505,0.024,0.116666666666667
"Combined_vs_NP","Baseline",505,0.025,0.120833333333333
"Combined_vs_NP","Baseline",505,0.026,0.125
"Combined_vs_NP","Baseline",505,0.027,0.125
"Combined_vs_NP","Baseline",505,0.028,0.125
"Combined_vs_NP","Baseline",505,0.029,0.125
"Combined_vs_NP","Baseline",505,0.03,0.125
"Combined_vs_NP","Baseline",505,0.031,0.129166666666667
"Combined_vs_NP","Baseline",505,0.032,0.133683333333333
"Combined_vs_NP","Baseline",505,0.033,0.137795833333333
"Combined_vs_NP","Baseline",505,0.034,0.144525
"Combined_vs_NP","Baseline",505,0.035,0.15
"Combined_vs_NP","Baseline",505,0.036,0.15
"Combined_vs_NP","Baseline",505,0.037,0.15
"Combined_vs_NP","Baseline",505,0.038,0.15
"Combined_vs_NP","Baseline",505,0.039,0.15
"Combined_vs_NP","Baseline",505,0.04,0.154166666666667
"Combined_vs_NP","Baseline",505,0.041,0.154166666666667
"Combined_vs_NP","Baseline",505,0.042,0.158333333333333
"Combined_vs_NP","Baseline",505,0.043,0.158945833333333
"Combined_vs_NP","Baseline",505,0.044,0.160316666666667
"Combined_vs_NP","Baseline",505,0.045,0.170020833333333
"Combined_vs_NP","Baseline",505,0.046,0.17195
"Combined_vs_NP","Baseline",505,0.047,0.174691666666667
"Combined_vs_NP","Baseline",505,0.048,0.191666666666667
"Combined_vs_NP","Baseline",505,0.049,0.196841666666667
