X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
s42,s82,0.016895446,0.561928087,0.154760823,3.11E-07,s42,s82,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Clostridium_leptum,Firmicutes,species,0.669356418,4.13E-05
s50,s55,0.050791758,0.128194386,0.137531714,2.47E-05,s50,s55,s__Clostridium_fessum,Firmicutes,s__Faecalibacillus_intestinalis,Firmicutes,species,0.24013878,0.001644879
s50,s150,-0.036627535,0.303064186,-0.086689779,0.005535739,s50,s150,s__Clostridium_fessum,Firmicutes,s__Anaerotignum_faecicola,Firmicutes,species,0.419870175,0.245417781
s175,s24,-0.003793465,0.904691375,0.088517448,0.009297975,s175,s24,s__Phocaeicola_vulgatus,Bacteroidetes,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.940030881,0.255480363
s152,s55,0.050148016,0.139315228,0.078835118,0.012360318,s152,s55,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Faecalibacillus_intestinalis,Firmicutes,species,0.253820895,0.255480363
s323,s61,-0.033906894,0.211068781,0.073517724,0.01261309,s323,s61,s__Roseburia_intestinalis,Firmicutes,s__Alistipes_onderdonkii,Bacteroidetes,species,0.333402726,0.255480363
s50,s90,-0.110558799,0.005059873,-0.095178262,0.013446335,s50,s90,s__Clostridium_fessum,Firmicutes,s__Bilophila_wadsworthia,Proteobacteria,species,0.018308152,0.255480363
s68,s90,0.027069405,0.404103409,0.071924241,0.025942154,s68,s90,s__Romboutsia_timonensis,Firmicutes,s__Bilophila_wadsworthia,Proteobacteria,species,0.532136172,0.357340938
s152,s76,-0.10408701,0.001713603,-0.063882984,0.025945589,s152,s76,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Bacteroides_caccae,Bacteroidetes,species,0.008139613,0.357340938
s175,s69,-0.148510969,8.92E-06,0.074192021,0.027597358,s175,s69,s__Phocaeicola_vulgatus,Bacteroidetes,s__Alistipes_shahii,Bacteroidetes,species,0.000112088,0.357340938
